DAUID,Population,Employment rate,Area,Total - Structural type of dwelling
35204139,2227,58.3,202494.15724720573,770.0
35204141,2159,46.6,109110.83264023792,750.0
35204142,1470,80.9,215639.47945153766,840.0
35204143,1954,50.9,224379.34446796478,710.0
35204144,1726,61.5,129368.52900690267,670.0
35204145,1903,49.3,103187.02827967264,655.0
35204146,1138,57.1,152317.96353536771,480.0
35204147,1326,58.7,365389.5871131433,540.0
35204148,839,60.6,92398.68744894207,215.0
35204149,1060,60.1,163463.3049092353,265.0
35204150,873,59.5,107658.73169124567,225.0
35204151,956,61.6,186951.97873665456,275.0
35204152,527,48.9,167709.05522084306,175.0
35204153,553,48.0,96400.3652396563,160.0
35204154,1095,64.8,168589.546564232,460.0
35204155,667,73.1,83586.0491468952,260.0
35204156,661,65.3,107213.20925304436,280.0
35204158,1606,57.6,151721.75150982075,975.0
35204159,688,51.4,125803.92983219872,260.0
35204160,427,63.4,44071.61618461135,195.0
35204161,481,52.2,82128.54011354095,190.0
35204162,438,55.6,160481.2181501859,155.0
35204163,481,56.0,162130.60657613358,180.0
35204164,591,43.2,85650.02355656016,180.0
35204165,3594,59.9,269931.26607977075,1165.0
35204166,572,49.5,118007.61269871764,185.0
35204167,594,40.8,90856.24643255897,195.0
35204168,831,45.4,140387.77480296695,255.0
35204169,335,58.5,91154.53002023874,120.0
35204170,536,58.1,187480.7285858285,160.0
35204171,1145,62.4,128433.43107274793,425.0
35204172,477,66.2,128957.74110208417,145.0
35204173,508,59.1,186883.08215944318,190.0
35204174,549,70.6,53569.66499234767,175.0
35204176,423,54.7,34732.05957511322,110.0
35204177,528,51.9,94784.87702232697,175.0
35204178,785,57.1,396692.83655733755,245.0
35204179,574,41.1,92731.80142053466,255.0
35204180,586,46.9,181069.21311624948,200.0
35204181,686,69.9,106724.90518843633,170.0
35204182,822,71.1,776258.2610874817,395.0
35204183,577,69.1,247890.1969690581,150.0
35204184,1122,50.0,21182.620837610473,530.0
35204185,1729,53.9,45662.07204947716,830.0
35204186,507,75.3,53911.11533639339,245.0
35204187,795,69.6,28153.128036472448,415.0
35204188,522,89.2,34029.297241092165,295.0
35204189,493,55.8,27682.761984557117,275.0
35204190,1357,59.9,16471.185690016122,585.0
35204191,625,67.3,61056.065477150536,350.0
35204192,550,31.7,13071.077133249093,150.0
35204193,321,78.2,1161030.582468918,115.0
35204194,1053,61.9,214540.5699290481,360.0
35204195,1722,51.6,44722.810671036554,725.0
35204196,469,46.8,16444.029301673363,190.0
35204197,614,45.1,17766.438692706924,265.0
35204198,1084,45.5,19418.90511990113,505.0
35204199,920,52.2,36736.88170133148,365.0
35204200,83,58.8,6612.39473867362,35.0
35204201,750,57.9,594922.122176705,255.0
35204202,317,58.5,156481.4132144851,100.0
35204204,109,64.7,21928.009966163125,40.0
35204205,333,68.6,62306.5216041684,105.0
35204206,339,56.7,58376.994389839885,125.0
35204207,377,58.1,289317.3022539678,150.0
35204208,1217,62.4,43405.0824698293,505.0
35204209,181,67.7,30956.934206652564,55.0
35204211,260,61.4,42981.295687181024,135.0
35204212,945,43.8,27521.67868412555,210.0
35204213,927,63.8,560779.2963140864,290.0
35204214,520,83.1,54040.205350138414,155.0
35204215,855,73.9,154781.74592162974,255.0
35204216,947,59.2,149176.996006325,235.0
35204217,263,50.0,36564.99152359786,65.0
35204218,744,65.8,150610.4243512514,185.0
35204219,335,55.6,36725.81077856474,100.0
35204220,497,68.8,295615.4877574972,275.0
35204221,494,63.6,19925.51465053422,250.0
35204222,837,57.8,22299.14500226844,430.0
35204224,460,65.4,87733.41124320464,145.0
35204225,562,63.2,35573.8099718275,155.0
35204226,510,60.4,26248.008088777315,150.0
35204227,1465,61.4,214703.03502107764,490.0
